titles,reviews
레쓰링,평을 남겨야하는 나에게 자괴감이 든다.<구세주>나 <김관장> 특유의 김성국식 잘생긴 찐따미가 제대로 보이지 않아서 아쉬운 영화 ㅋㅋ
대디스 홈,
레드: 더 레전드,
A MINECRAFT MOVIE 마인크래프트 무비,"훌륭한 원작 IP에 다운그레이드 된 <쥬만지>를 입혀버렸다. 스트리머들의 아기자기한 상황극이 더 재밌을 거 같은데...본격 대가리꽃밭 지향 영화. 개연성 따질 생각 버려야 한다. 생각없이 순간을 즐기는 게 최선.짜증나게 아니 왜 니들만 신난거냐? 학!씨!퀄리티가 조금 올라간 불량식품게임스러운 분위기를 잘 살려서 그냥저냥 볼만했음. 어릴 적 봤던 모험오락영화를 보는 기분도 들었고 ㅎ 잭 블랙과 제이슨 모모아의 케미가 의외로 괜찮았음그냥 잭 블랙표 코미디...그거면 되지 뭐 ㅎ뇌를 빼면 충분히 즐길수 있는 영화순수하게 마인크래프트를 현재 즐기고 있는 어린 아이들을 위한 타겟 영화.게임 원작 영화가 실패하는 이유

게임 원작 영화의 제작 소식이 들리면 게임 팬도, 영화 팬도 걱정하는 경우가 부지기수다. <어쌔신 크리드>, <워크래프트: 전쟁의 서막>, <언차티드> 등 많은 게임 원작 영화가 완성도 관련해 혹평을 피하지 못했기 때문. 그러면 왜 유독 게임 원작 영화는 실패하는 경우가 많을까? 여러 이유가 있겠지만, 특히 캐릭터 역할과 활용 방식의 차이를 안 짚고 넘어갈 수 없다.

영화 속 캐릭터는 스토리텔링의 주체다. 관객은 캐릭터와의 공통점을 찾아서 몰입하거나 그의 경험을 거부하는 등 소극적 반응만 할 수 있다. 게임은 다르다. 게임의 캐릭터는 스토리텔링의 주역이자 '아바타'다. 관객과 달리 게임 플레이어는 캐릭터를 또 다른 자아처럼 조작하고, 주도적으로 이야기를 진행한다. 즉, 게임 플레이어에게 캐릭터는 감정 이입의 대상이자 직접 행위를 하는 주체다.

물론 게임 원작 영화는 본질적으로 관객에게 능동성을 부여할 수 없다. 대신 게임의 플레이 과정을 구체적으로 재현하며 게임을 하는 듯한 인상은 줄 수 있다. 문제는 이 차선책을 못 취하는 작품도 많다는 것. 일례로 <어쌔신 크리드>는 원작 게임의 핵심인 목표를 암살하는 과정보다는 캐릭터의 서사와 세계관 설정에 집중하면서 게임 특유의 분위기를 살리지 못했다. 게임 특유의 재미를 기대하는 관객이 실망할 수밖에 없는 이유다.

<마인크래프트 무비>도 마찬가지다. 사실 예고편을 보고 예상한 것과 달리 이 영화는 의외로 깊이가 있다. 마인크래프트를 플레이한 적 있거나 게임을 좋아하는 관객이라면 각 캐릭터의 서사에 충분히 공감할 수 있다. 하지만 그들이 아바타가 아니라 스토리텔링을 위한 장치로만 기능하다 보니 <마인크래프트 무비>는 다른 게임 원작 영화처럼 낙제점을 피하지 못한다. 온갖 밈과 B급 유머에도 불구하고.

(...)

결국 <마인크래프트 무비>는 게임 원작 영화의 징크스를 피해 가지는 못했다. 그래도 1편 이후 제작이 취소된 선배들의 전철은 피할 것으로 보인다. 월드와이드 10억 달러도 돌파할 것 같은 흥행 추세 덕분에 벌써 속편 제작을 논의 중이라는 뉴스가 들리고 있으니까. 만약 아바타를 포기한 과오를 바로잡고, 마인크래프트만의 특성을 부각할 수 있다면, 이름값이 아깝지 않은 속편이 나올지도 모를 일이다.


Poor 형편없음
캐릭터만큼 아바타도 챙겼더라면딱 어린이날에 보기 좋은 영화아이와 함께 <마인크래프트 무비> 4DX 사전 상영회를 다녀왔습니다.
솔직히 어른의 시선으로 본 영화는 엉망진창이었지만, 놀랍게도 상영관을 가득 채운 아이들의 웃음소리는 상영 내내 끊이지 않았습니다.
저희 아이는 너무 재미있다며 웃다가 울기까지 했고,
영화가 끝난 후에도 아이들은 여전히 즐거워하며 기념사진을 찍기도 했습니다.

물론 작품성이 뛰어나거나 영화적 완성도가 높은 작품이라고는 할 수 없습니다.
하지만 어린이들에게 두 시간 동안 이토록 큰 즐거움을 선사했다면,
과연 이 영화를 단순히 '나쁜 영화'라고 평가할 수 있을까요?

저 혼자 관람했다면 분명 혹평했겠지만,
아이들이 순수하게 기뻐하는 모습을 직접 보니 생각이 달라졌습니다.
결국 이 영화의 가치는 비평가들의 별점보다는 아이들의 웃음소리에 있는지도 모르겠습니다.

하지만 전 어른이니 별 두개.원작의 팬이라면 필수적으로 봐야할 작품. 게임의 왠만한 모든 요소를 녹여 냈다. 잭 블랙은 코미디에 한 몫 하지만 스토리는 평이하다. 엔딩크레딧 전에 하나 후에 하나 쿠키 있음!배우는 개인기로, 영화는 소재로 쌓아 올려보는 재미와 상상력제이슨 모모아랑 잭블랙 데리고 이정도 약빤 영화 찍는게 가능하다니. 여러모로 가족들과 보기 좋은 영화. 원작 게임을 해본 사람에겐 최고의 팬서비스오버월드에서도 리얼월드에서도 역시 금이란!너무유치해용"
이터널 선샤인,
"결혼, 하겠나?",
벤 앤 찰리,
히트맨2,"말도 안되는 설정이지만 그냥 뇌를 빼고 보면 볼만한 영화히트맨1 보다 많은 액션, 뻔한 웃김이 있지만 볼만했다. 이이경x정준호 두 케미가 보기 좋았다.웹툰(애니메이션)과 실사 영화의 접목이라는 신선함은 1편까지만... 억지스런 뇌절에 구멍까지 숭숭!우린 이딴 쓰레기나 볼려고 만오천원을 내는게 아니다처음부터 끝까지 거를 타선 없는 쓰레기그러니까 좋든 싫든 전형적인 팝콘무비생각 외로 재미있었다. 특히 애니메이션이 명품이다... 👍중반부까진 그래도 명절 특선 영화 정도는 되는데 그 이후부터는...여전히 웃기고 편하게 보기 좋다히트맨, 고퀄의 작화와 OOO 배우의 특별 출연까지! (+ 유쾌했던 무대인사 시사회 현장 후기)히트맨 1을 재밌게 봐서일까 영화보는내내 내가 왜 여기 앉아있지? 생각함........ 기대없이 보거나 그냥 진짜 속이 허할때 보세요끝없이 뇌절하는 웹툰같다생각보다 웃긴영화제 취향에 맞는코미디영화였다 한여섯번봤습니다<암살요원 준> 애니메이션/만화 컷들이 더 재밌다. 도대체 이런 영화를 어떻게 만드는거냐? 코믹스럽고 과장되고 억지스러운 장면들과 대사, 연기는 저절로 실소를 유발하게된다.ㅋㅋ 거리면서 볼만한데히트맨 2, 드디어 보고 왔어요! 😂 전작만큼 신선한 느낌은 덜했지만, 킬러 액션은 여전히 멋있더라고요. 웃음 포인트도 많아서 가볍게 보기 좋았어요.아쉽다.. 보가 보겠다마는 아쉽다는 느낌이 있긴 하다.병맛에 유치뽕인데 이상하게 재미는 있어B급영화 감성에 웹툰이라는 조미료를 넣어만든 영화 [뇌빼고 볼만한 영화(?)]마냥 즐겁게 볼수잇는 코믹액션영화억지 슬랩스틱 코미디에 스토리도 흔하고 상스러운 욕은 감칠맛은 커녕 거부감이 든다. 왜 후속작이 나왔는지 이해가 안간다0.5도 아까움 한 번도 안 웃음1편보다는 아쉽..개봉일에 본 영화.. 기대안하고 보면 볼만한 요소들이 있긴 했다권상우 아직 살아있네 그리고 조연의 코믹연기가 일품이다 황우슬애 정준호 이이경 의 코믹연기가 좋았고 스토리도 킬링용으론 손색없었다 잘봤다히트맨2 무대인사가서 재미있게 잘봤어요!익숙하게 먹던맛 크게 생각없이 보기에 적당한 코믹 영화한두컷정도 아쉬운장면이 있긴했지만 전체적으로 만족 재밌음"
논나,"예상 가능하고 뻔한 전개, 그럼에도 따뜻한 이야기따뜻한 영화는 언제나 옳다.https://blog.naver.com/renorous/223863865688"
드래곤 길들이기,"드림윅스에서 가장 명작 시리즈라고 생각한다.해충에서 동반자가 되기까지. 인간이든 드래곤이든, ‘잘못 안다’는 것이 얼마나 어리석은 일인지!아이들 영어공부땜에 같이 봤던 영화 원작소설도 있어서 줄거리도 탄탄하고 작품성도 있어요 가족이 모두 함께 보면 좋아요!나도 드래곤 가지고싶다.투슬리스와의 첫 비행 신은 정말 압권이었음흥미로운 소재 참신한 캐릭터 동심을 품은 어른도 즐거운 에니동심이 폭발하는 감동적인 이야기.투슬리스가 너무 귀여워요각자 지닌 결함이 서로의 조화로 채워진다.다친 날개와 다친 다리 보완이 아니라 서로를 구원한다주인공불신>조력자>위기>극복(모두의신뢰)클리셰적인 스토리지만 바이킹+드래곤이라는 참신한 소재설정과 매력있는 캐릭터/디자인이 좋았다투슬리스 귀여워…잊을 수 없는 눈빛과 손짓, 바람을 가로질러 만난 우리의 운명.한 쪽 꼬리와 한 쪽 자리를 잃은 두 캐릭터의 뒷모습을 비춘 마지막 장면은 절대 잊지 못함애들이랑 같이 보기 좋은 영화.나의 걸음과 너의 비행으로 거듭나는, ‘사이’ 길들이기. 먼저 손 내미는 걸 주저하지 않는 이가 가장 용기 있는 법.날 선 칼날을 내려놓고 서로를 이해하려 노력할 때 비로소 찾아지는 근사한 둥지드림웍스 최애작. 아름답게 날아오르는 히컵과 투슬리스를 응원하게된다.이걸보면 나도 드래곤 친구 한 마리 있었으면…….극장에서 봤던 추억이 방울방울한 작품기여움 …. 훌륭한 애니메이션과 귀여운 캐릭터 나쁘지 않은 서사너무 재밌게 본 영화하늘로 비상한 드림웍스의 낭만드림웍스의 디즈니 길들이기 으아 3D로 보고싶다진심은 결국 통한다는 따뜻한 교훈. 이 척박한 세상에서도 그럴까? 2015년진짜 ! 진짜 키우고 싶다 나의 드래곤 !공생이란 이런것"
