movie_title,review
환승연애 2,일반인 연애프로그램에 일절 관심 없다가 처음으로 보게 된 방송. 사람들이 왜 그렇게 열광하는지 이해하게 됐다
환승연애 2,제주도에서 등장한 메기의 힘은 강력했다.
환승연애 2,가스라이팅 좀 그만해라 누군지 말 안 해도 본 사람들은 다 알 듯. 방송은 재밌는데 보는 내내 역겨웠던 이유가 이새끼 때문임 너무 역겨움 ㅋㅋ
환승연애 2,시청자가 몰입할 수 있는 연출력. 정말 친구 얘기 듣는 것 같은 남의 연애사.
환승연애 2,너는 이게 쉬워 보여?
환승연애 2,"성해은 스토리는 각본 없는 드라마, 역대 최고의 연프"
환승연애 2,지금까지 나온 연프 중 가장 최고라고 생각한다
환승연애 2,"그러고보면 연애의 형태는 너무도 유사해서 그 공감과 심리적 동화가 쉽게 된다, 영상 컷 편집이나 음악이나 그냥저냥 평타 수준"
환승연애 2,지난 시즌보다 한층 더 전 연인에 대한 애틋함과 다른 사람에 대한 러브라인을 통한 갈등을 더욱 현실적으로 잘 보여주었다.
환승연애 2,연애 프로그램 No. 1인 이유.
환승연애 2,역대 연애 프로그램 중에 레전드가 아닐까?
환승연애 2,너무 길었지만
환승연애 2,심심할 때 킬링타임용으로 보기 좋아요:-) 전 한 번에 몰아보기 하니까 조금 힘드네용 출연자들 울 때마다 같이 우는 바람에 휴지를 머리 맡에 두고 봤어요 ㅋㅋ
환승연애 2,도파민 중독^..^
환승연애 2,와 진짜 처음에는 솔직히 지루한편이였는데 뒤로 메기? 분들이 나올때마다 너무 재밌었다. 뒤늦게 봐서 진짜 몰아서보느라 더 재밌었음..
환승연애 2,제주도 장면 보기 위해 디시 보는 연애프로
환승연애 2,수많은 명대사를 만들어낸 연애 예능 레전드
환승연애 2,연프 중 가장 재밌었던 것 같음
환승연애 2,시즌 1 보다 과몰입 할 줄 몰랐는데 훨배 과몰입. 상당한 매력을 지닌 출연진들을 보는게 너무 재밌다
환승연애 2,감정의 소용돌이란 이 예능을 두고 하는 말이 아닐까 싶네요
환승연애 2,어쩌면 시작보다 끝이 더 중요하다. 사랑에 빠지긴 쉬워도 헤어지는 건 어렵다.
환승연애 2,드라마급 서사를 가진 출연진들 역대급 연애프로라 생각함. 마지막까지 누가 누굴 고를 지 예상이 안 되는 시즌이다.
환승연애 2,혜은이 땜에 많이 따라 울었던… 결과가 생각과 다른 방향이었지만 …해피엔딩
환승연애 2,최고의 연프 중 하나
환승연애 2,대충 남의 사랑은 정말로 재미있다 짤
