movie_title,review
종이의 집 시즌 1,뒤늦게 빠짐. 바로 다음화 누르지 않을 수 없는 끊고 빠지기 타이밍이 예술.. 이런거 한국 드라마가 많이 배워야 함. 한국 드라마로 옮겼을 때 어떻게 할건지 자꾸 상상하게 만
종이의 집 시즌 1,"살면서 누구나 상상했던 것을 작품으로 만들었다. 도덕적이진 않지만 이들은 시민의 편이다. 주인공이 많지만, 각자의 개성이 너무 뚜렷하여 전혀 난해하지 않고 오히려 궁금증을 유발한다"
종이의 집 시즌 1,"원래 온전한 한 작품이었던 드라마를 1, 2부로 나눠 넷플릭스에 공개한 것은 신의 한 수였다."
종이의 집 시즌 1,"어쩌면 조폐국 안에 있는 강도들은 저항군이고, 그렇다면 그 밖에 사람들은?"
종이의 집 시즌 1,스페인드라마에 대한 선입견을 깨준 드라마! 스페인드라마도 재밌다는 것을 알려주었다.
종이의 집 시즌 1,아직도 종이의 집을 안보셨나요?
종이의 집 시즌 1,도쿄 이름도 마음에 안드는데 하는 짓도 마음에 안 듦
종이의 집 시즌 1,워낙 유명하다보니 볼려고 여러번 시도했지만 항상 2화를 넘기지 못함.. 그냥 제 취향이 아닌가봅니다
종이의 집 시즌 1,시간 순삭
종이의 집 시즌 1,불륜과 미혼모의 노래
종이의 집 시즌 1,내가 이거 때문에 스페인어를 공부하고 싶어졌다. 공부하기 전에 스페인어로 욕이 뭔지는 이 드라마로 확실히 배운 듯.
종이의 집 시즌 1,중간에 살짝 늘어지는 느낌때문에 완주 못할뻔 완주 못했음 큰일 날뻔했네
종이의 집 시즌 1,.
종이의 집 시즌 1,답답한장면 많이 나오니까 볼거면 각오하고 보셔야합니다..
종이의 집 시즌 1,정신을 못차리네.. 너네 강도질하는 중이야 이것들아
종이의 집 시즌 1,6부작으로 끝냈으면 얼마나 좋았을까~?
종이의 집 시즌 1,도쿄 때문에 개빡친다
종이의 집 시즌 1,인생 드라마중 하나에요 한국 리메이크 너무 아쉬워요
종이의 집 시즌 1,기대했는데 인질극 중 감정팔이 사랑팔이가 많아서 잘 안봐졌다. 4화에서 하차 24.3.1
종이의 집 시즌 1,가장 매력적인 강도들
종이의 집 시즌 1,"일단 매력과 계획력, 실행력으로 승부보는 교수와 친구들 하지만 교수의 사람고르는 안목은..."
종이의 집 시즌 1,이거 하나만으로 넷플 결재 하나도 안아까움
종이의 집 시즌 1,처음에 스페인 언어가 생소했는데 보다보니 재밌어서 금방 익숙해짐. 교수의 머리가 비상하다. 나도 좀 껴주겠니? 코리아로~🇰🇷
종이의 집 시즌 1,베를린에게 푹 빠져버렸다
