movie_title,review
노인을 위한 나라는 없다,어떤 불행은 이유가 없기도 하다
노인을 위한 나라는 없다,"무기력, 허망함, 부질없음이 이 영화에서 가장 공포스러운 요소다. 우리는 모두 언젠가 노인이 될 것임을. 단, 죽음이 찾아오기 전까지만."
노인을 위한 나라는 없다,"청년을 위한 나라는 없다, 이창동의 <버닝>과 코엔 형제의 <노인을 위한 나라>"
노인을 위한 나라는 없다,"운명처럼, 우연처럼 다가오는 악을 우린 피할수 있는가."
노인을 위한 나라는 없다,S 누군가 나에게 영화 역사상 최고의 빌런을 뽑으라 한다면 나는 망설임 없이 안톤 쉬거를 택하겠다.
노인을 위한 나라는 없다,"확실한 건, 확실한 건 없다는 사실 오직 한 가지."
노인을 위한 나라는 없다,심장 터지는 줄 알았어요.
노인을 위한 나라는 없다,스토리 - ★★★★★ 연기력 - ★★★★★ 몰입도 - ★★★★★ 영화도 영화인데 보고나서 영화 해석한거 보셈 그래야 영화를 다 본거임
노인을 위한 나라는 없다,노인을 위한 나라는 없다 - 자본
노인을 위한 나라는 없다,"2백만 달러를 손에 쥔 퇴역군인, 목적의식없는 살인마, 그리고 막아내지 못한 늙은 보안관. 그들을 위한 나라는 없다."
노인을 위한 나라는 없다,하비에르 바르뎀=안톤 시거 그 자체가 영화인 영화
노인을 위한 나라는 없다,삶과 죽음. 이 운명이란 것이 이렇게 숨막히는 것이었나
노인을 위한 나라는 없다,집중하면 심장이 아파온다.
노인을 위한 나라는 없다,난 이것을보고 영화추천하면 항상 이작품을 빼놓지않는다 그게 무슨영화냐 물어본다면 취향에 맞는다면 꼭 봐라 이 말만하고 아무런말도해주지않는다... 봐야 알거같기때문이다..
노인을 위한 나라는 없다,아니 이런 비쥬얼 배우 어디서 구함 개무서움 그냥 서있어도 무서움
노인을 위한 나라는 없다,소리없이 다가오는 죽음
노인을 위한 나라는 없다,예고도 없이 희망의 탈을 쓰고 어김없이 찾아오는 불행.
노인을 위한 나라는 없다,"신중하게 벼린 영상, 그 서늘한 칼날로 죽인 헛된 소망"
노인을 위한 나라는 없다,의지없는 선택에 의한 무기력과 운명이라는 이름의 환각
노인을 위한 나라는 없다,뭐가 숨겨져있던 상관없는 영화
노인을 위한 나라는 없다,노인이 살아가기엔 세상이 너무 빠르고 변칙적이며 잔인하다.
노인을 위한 나라는 없다,"세상엔 극적인 이야기도, 히어로도, 영원히 푸른 희망의 세상도, 그리고 나를 위해 불을 켜줄 앞서간 누군가도 없다."
노인을 위한 나라는 없다,인물들의 소신과 성향에 제목만 봐도 알수있는 메세지를 더한 정말 잘만든 범죄 스릴러 영화일 뿐이다.
노인을 위한 나라는 없다,"""요즘 범죄는 동기가 없어"""
노인을 위한 나라는 없다,잔잔한 긴장감이 끝까지 이어지는 스릴러 영화 끝판왕. 최고의 악역
노인을 위한 나라는 없다,도대체 왜 명작
노인을 위한 나라는 없다,재앙 앞에 선 지혜의 무력함.
노인을 위한 나라는 없다,인생에 대해 독특한 장르로 접근한 영화
노인을 위한 나라는 없다,세상에서 가장 효과적인 긴장감을 주는 배경음악은 침묵이다
노인을 위한 나라는 없다,영화가 주는 긴장감과 메세지에 압도되었다.
노인을 위한 나라는 없다,동전에 인생을 건다.
노인을 위한 나라는 없다,"기교나 화려함이 아닌, 강렬하고 묵직한 영화의 힘이 돋보이는 작품이다."
노인을 위한 나라는 없다,후덜덜... 진짜 악마를 보았다.
노인을 위한 나라는 없다,빈틈 없이 조여오는 그(들)의 장악력. 무섭다.
노인을 위한 나라는 없다,식과 답이 모두 무의미한데 그것마저 이유라 하니 노인을 위한 나라는커녕 자리도 없다
노인을 위한 나라는 없다,언제나 예기치 않은 영화를 들고 나오는 우리의 코엔 형제는 이번에도 예외일 수 없다는 듯이 '평범할 수 없는' 영화를 들고 다시 나타났다. 그들은 여전히 건재 했으며 쓰레기 같은 ...
노인을 위한 나라는 없다,무서웡
노인을 위한 나라는 없다,화려한 기교를 부리지않은 연출과 고요함속에서 전해지는 서스펜스가 일품.
노인을 위한 나라는 없다,영화를 다 보고 리뷰를 보면 소름이 돋음 다만 보는 중에는 이게 제목이랑 무슨 상관인지 싶어 머리가 아픔.. 배경음악이 없었다는 것도 보는 중에는 몰랐음
노인을 위한 나라는 없다,음악도 없이 이렇게 몰입을 할 수 있다니
노인을 위한 나라는 없다,Heads or tale
노인을 위한 나라는 없다,압도적인 건조함에 빠져들어 같이 메말라가는 기분. 긴장감 유지시키는 연출이 최고였다
노인을 위한 나라는 없다,혼돈의 사막 속 적막한 아이러니.
노인을 위한 나라는 없다,발걸음 하나에 조여드는 서스펜스 그리고 허망함
노인을 위한 나라는 없다,음악도 없고 서로 만나지도 않지만 손에 땀을 쥐게하는
노인을 위한 나라는 없다,내 숨소리가 배경음이 되는 몰입감과 긴장감
노인을 위한 나라는 없다,bgm없이 카메라 구도와 연기력으로 몰입력을 끌어올리는 영화 해석을 알면 더 재미있는 영화
노인을 위한 나라는 없다,몰입 그 자체
노인을 위한 나라는 없다,묵직하게 예상이 안되게
노인을 위한 나라는 없다,단발머리의 공포스러운 외모의 남주와 LPG공기를 단 무시무시한 총으로 오로지 돈을 차지하기 위한 살인이 난무한 영화가 왜 좋은 평가가 있는지 이해 안가는 영화중 하나이다
애프터썬,이 섬세하고 모호한 표현들이 나를 비켜가는 느낌이랄까... 그들의 감정의 소용돌이를 이해하지 못했다.
애프터썬,애프터썬
애프터썬,뒷모습을 바라볼 줄 아는 마음에 대해 생각한다.
애프터썬,당신과 나의 시차를 넘어선 접속
애프터썬,"보는 동안에는 덤덤하게 앉아 있었는데, 막상 영화가 끝나고 영화를 보며 느꼈던 물음표와 불안, 사랑과 그리움, 애틋함 같은 것들이 한데 뒤섞여 해일처럼 밀려와 울 수밖에 없었다."
