movie_title,review
슬픔의 삼각형,피라미드 꼭대기를 맛본 자는 결코 엘리베이터를 타지 못한다
슬픔의 삼각형,찡그림은 권력이다
슬픔의 삼각형,삼각형의 계층구조를 뒤집어 놓으면 꼭지점으로 잘 서있을까??
슬픔의 삼각형,"누구도 강요하지 않지만 모두가 따르는, 그렇기에 더욱 안타까운 '슬픔의 삼각형'."
슬픔의 삼각형,직설성의 함정
슬픔의 삼각형,정말 '드럽게' 재미있는 블랙코미디.
슬픔의 삼각형,인 덴 볼켄~~~!!!!
슬픔의 삼각형,러닝타임 내내 평등을 외치나 러닝타임 내내 위계질서가 존재했다.
슬픔의 삼각형,누가 황금종려상 영화가 재미없대!! 웃다가 울다가 토할 뻔했다! 타이타닉과 기생충이 만나 캐스트어웨이를 떠난 영화.
슬픔의 삼각형,할 수 있는 모든 것은 다 깐 영화
슬픔의 삼각형,"<기생충>에 청년 세대 간 젠더 갈등과 인종 차별을 첨가하더니, 관객을 석기 시대로 인도하는 신랄한 경험을 준다."
슬픔의 삼각형,"1부-시작, 2부-확장, 3부-폭발"
슬픔의 삼각형,"최근 사회문제를(젠더 갈등,성역할,자본주의,노예) 전부 갖다 부어 풍자해버려,사슴을 돌로 여러번 내리찍어 죽여 괴로워하는 사람을 보고 관객들을 낄낄거리게 만드는 정신나간 영화"
슬픔의 삼각형,어렵사리 뒤집어도 다시 피라미드로 돌아오고 마는 ‘삼각형의 슬픔’
슬픔의 삼각형,전반적으로 기발하고 재밌는 부조리극이지만 사족이 좀 달려있다.
슬픔의 삼각형,너무 적나라해서 불쾌한데 재밌다
슬픔의 삼각형,#슬픔의삼각형 ★★★★ 기생충 3D 버젼
슬픔의 삼각형,"아무리 뒤집은들 위, 아래가 없어질 리가 없다."
슬픔의 삼각형,"""젠더갈등, 자본주의, 계급사회"" 3가지 꼭짓점으로 이루어진 슬픔의 삼각형"
슬픔의 삼각형,힘의 논리에 따른 평등
슬픔의 삼각형,"생각할 거리를 줘서 좋긴한데, 생각할 거리만 너무 던지고 끝남"
슬픔의 삼각형,기생충하고 같이 언급되길래 봄. 초중반 지루. 엔딩쪽으로 갈 수록 조금 흥미있어짐. 뭔가 더 웃기거나 뭔가 더 쇼킹하기를 원했는데...아숩..
슬픔의 삼각형,우리의삶
슬픔의 삼각형,삼각형을 굴리면 꼭지점만 바뀔 뿐 결국 삼각형이다
슬픔의 삼각형,ㅇ
슬픔의 삼각형,조금 과하긴 해도 꽤나 직설적인 은유와 가정법을 보면서 계속 해석하게 만드는 매력이 있다.
슬픔의 삼각형,인위적인 풍자가 너무 산재해 있다.
슬픔의 삼각형,역겨울 수 있는 권력의 맛을 역으로 착취했을 때의 짜릿함
슬픔의 삼각형,1막은 진짜 오묘하고 좋았는데. 결국 농담따먹기 영화가 되어버렸다. 그 농담따먹기가 재밌긴 한데...
슬픔의 삼각형,"지독한 조롱, 체제와 이념에 대해 알면 알수록 슬퍼지는 더욱 지독한 슬픔의 역설!"
슬픔의 삼각형,한바탕 웃음 뒤에 오는 것은 허무인가 희망인가(3.5)
슬픔의 삼각형,슬픔의 삼각형 -프레첼 스틱을 홍보하는 영화
슬픔의 삼각형,이것이 바로 자본주의 약육강식 슬프지만 어쩔 수 없고 당연한 것이 아니겠는가...
슬픔의 삼각형,권력을 손에 쥐었을 때 풍기는 냄새
슬픔의 삼각형,발렌시아가! :-\ H&M! ◠.◠
슬픔의 삼각형,너무 기대를 했나 기대보단 못했지만 그래도 재밌게 봤다. 원래 열린 결말은 좋아하지 않는데 이 영화는 좋았음.
슬픔의 삼각형,뾰족한 삼각형이 끝없이 굴러다닌다. 삼각형이 마모된다면 좀 더 행복한 세상이 올까? 웃음 뒤에 남는 쓴맛이 <기생충>에서 맡았던 체취를 떠오르게 한다.
슬픔의 삼각형,전작보다는 직접적으로 폐부를 찌르기
슬픔의 삼각형,"모순, 모순, 모순. 그리고 또 모순"
슬픔의 삼각형,"뒤집고 뒤집히는 계급 피라미드 (나를 생존할 수 있게 해주는 자가 곧 캡틴, 한번 경험한 꼭대기는 내려가기 힘들다.) 아프거나 불편하지 않게 하지만 정확하게 꼬집는데 재밌기까지"
슬픔의 삼각형,바빌론 + 기생충 = 슬픔의 삼각형
슬픔의 삼각형,난 지금이 맘에 들거든
슬픔의 삼각형,기발한만큼 평범하고도 매력적이며 잘 기울어져있다.
슬픔의 삼각형,대차게 삼각형을 굴려가며 고루고루 조롱한다
슬픔의 삼각형,권력의 맛이란..
슬픔의 삼각형,"슬픈데 웃기고 마냥 웃을수 없는 슬픈 삼각형 장르는 코미디지만,,드럽게 웃긴"
슬픔의 삼각형,기생충보다 훨씬 낫다고 생각한다. 한 영화의 너무 많은 이야기가 담아있는게 아닌가 싶은데 개인적으로 유머코드가 나랑 잘맞은거같다. 한번쯤은 봐야할 영화
슬픔의 삼각형,어떻게든 굴려도 바뀌지 않는 굴레에 갇혀버린 삼각형에 대하여.
슬픔의 삼각형,순식간에 뒤집히는 삼각형 꼭대기가 되는 순간 꼭대기였던 그들과 같은 행동을 하는구나
슬픔의 삼각형,시청 내내 이중적 의미를 담은 제목 슬픔의 삼각형에 동요될 수밖에 없었던
청설,너의 세상이라면 숨이 없더라도 잠겨 들어갈게. 그곳에서 너의 손끝을 읽을게.
청설,완전 말랑말랑하고 무해하고 깨끗하고 청순한 홍경 노윤서가 만들어낸 오랫만에 재미있게 본 청춘물 영화 대도시의 사랑법이 내가 겪어보지 못한 이십대라면 청설은 딱 내가 느꼈던!
청설,"원작보다 청량하고, 한국적으로 잘 리메이크 된 듯하다"
