movie_title,review
추락의 해부,"믿거나 말거나, 청자의 선택"
추락의 해부,몰락한 것들에 대한 재판
추락의 해부,진실(들)의 해부
추락의 해부,"누가, 어떻게는 중요하지 않다 추락한 것은 과연 무엇인가"
추락의 해부,어떠한 갈등이든 사건이든 깊게 파고들면 들수록 결국 남는건 상처뿐이다.
추락의 해부,"가족의 붕괴, 사건을 해부하다. 진실은 핵심이 아니다."
추락의 해부,사과를 보고 누군가는 생과라고 할 수 있고 누군가는 가짜라고 할 수도 있다. 그것을 해부하지 않으면 모른다. 하지만 정황만이 전부인 상황이라면 내 마음에게 진실을 맡기는 수밖에.
추락의 해부,영화가 잘생겼고 변호사님이 재밌어요
추락의 해부,솔직히 별점 2점 주기도 애매하다. 다들 황금종려상 프레임에 너무 올려치기 해주는게 아닐지.. 말도 안 되게 긴 러닝타임에 지쳐가는 몸과 정신...
추락의 해부,저스틴 트위에의 탁월한 각본과 연출 그리고 산드라 휠러의 엄청난 연기 압권
추락의 해부,"줄거리는 제목으로, 내용은 철학자 니체의 말로 대신한다. ’사실이란 없다. 해석만이 있을 뿐‘."
추락의 해부,볼만은 한데.. 왜 이런 평범한스토리를 긴시간을 할애한건지..
추락의 해부,"#🏔️ 사실은 ‘어떻게’에 있고, 진실은 ‘왜‘에 있다."
추락의 해부,부부싸움이라는 민사와 남편 죽인 용의자 아내라는 형사 사건이 맞물린 재판정의 배심원 눈으로 보게 만든 법정극의 진수. 쥐스틴 트리에. 2023. 4.5 / 바칼로레아 나라답다.
추락의 해부,사건을 되돌아보며 맞이하는 개개인의 추락들
추락의 해부,"추락을 위한 해부일까, 아니면 결론을 위한 분해일까."
추락의 해부,"나는요 해부됐어요,,"
추락의 해부,죽음으로 끝나는 생. 죽음으로부터 시작되는 일들.
추락의 해부,이미 떨어진지 모르고 아등바등 살려고 하는 모순적인 삶으로의 추락.
추락의 해부,그 무엇보다 과정이 제일 끔찍하고 사실적이다.
추락의 해부,"저릿할 정도로 빡-빡한 영화. 연기, 음악의 사용, 촬영의 변주… 훌륭한 것 투성이. 진실은 끝내 알 수 없지만 진실 그 자체가 중요한 것은 아닌 영화. 난 자살에 한 표."
추락의 해부,추구하고싶은 것의 믿음. 그리고 그것에 대한 해부
추락의 해부,"스릴러 그리고 추리, 법정물을 잘 버무린 희곡"
추락의 해부,제한된 정보를 더듬어 공백을 상상함으로써 만들어지는 진실.
추락의 해부,가정의 일이 재판이 되고 소설이 되는 순간.
추락의 해부,사운드와 알 수 없는 진실의 어긋남에서 시작되는 의문.
추락의 해부,고통의 해부 끝에 바라는 건 진실이 아닌 누군가의 추락
추락의 해부,진실이 밝혀져도 통쾌한 기분이 해소되지 않는 나는 어쩌면 누군가의 추락을 즐기고 있던 게 아닐까
추락의 해부,"비극, 타인을 통해 비치는 투사체"
추락의 해부,여러 범죄물 속 진술은 '추상'에서 '인식'으로서 끝을 맺는다. 하지만 추락의 해부는 '추상'으로 끝을 맺는다.
추락의 해부,"가족에게 일어난 사건과 가족의 관계를 가족의 눈앞에서 낱낱이 해부하고, 그 고된 과정을 카메라의 눈으로 쭉 지켜본다. 그 모든 일 이후에도 그들은 여전히 가족으로 살아야 한다."
추락의 해부,길었던 러닝 타임이 하나도 느껴지지 않았던 영화. 나도 모르게 집중해서 보게 됐다. 생각할 부분이 많아서 더 좋았던 영화.
추락의 해부,추락 사건을 다룬 잘 만든 법정 영화이기도 하지만 중요한 건 법정과 매스컴에서 이 가족을 철저하게 해부해서 타락시키는 게 핵심이다.
추락의 해부,가족의 해부
추락의 해부,제목처럼 추락에 대해 해부만 하다 결국 씁쓸함과 허무함만이 남는..러닝타임 2시간반 동안 엄청난 대사가 쏟아진다
추락의 해부,어떻게 그렇게 됐는지 판단할 정보가 부족하면 정황을 봐야한다. 추락의 해부에서 관계의 해부로 이어지는 전환이 물흐르듯 좋은 작품.
추락의 해부,추락한 순간 이미 산산히 부서진 조각들을 이어붙이다 무엇이 부서졌는지를 알아가는 심리드라마 법정극.
추락의 해부,추락사를 두고 해부하고 다시 이어 붙이는 엄청난 대사의 폭격. 산드라 휠러의 연기는 논외. 마지막의 아들 역할과 강아지 연기가 미쳤다.
추락의 해부,스눕 독 연기 지린다 ㄷㄷ
추락의 해부,해부하며 마주하는 추락
추락의 해부,"보고 싶은 대로, 듣고 싶은 대로, 믿고 싶은 대로, 어찌 되었든 진실을 결정하는 건 우리의 몫."
추락의 해부,불안한 예감은 전혀 맞지 않았다.
추락의 해부,"정교하게 설계되었지만 숨기는 것도 많은 주인공, 그리고 영화. 아들의 눈물이 많은 단점을 용서해준다."
추락의 해부,무수한 사실 속에서 ‘내가 원하는’ 진실을 찾아내려고 하는 우리 모두가 배심원이자 작가가 아닐지
추락의 해부,관객을 배심원으로 만들고 판단할 수 없다면 '결정'하게 만드는 영화의 힘. 배우들의 뛰어난 연기와 몰입하게 만드는 스토리. 적재적소의 플래시백. 어쩌면 해부당한건 그녀가 아닐지도.
추락의 해부,날카로운 진실의 파편들을 가지고 산가족을 해부하는
추락의 해부,"진실은 중요치 않아, 이 영화가 너에게 던지는 질문을 귀 기울이고 잘 들어봐."
추락의 해부,추락이란 사실을 통해 삶이라는 이야기를 해부하는 영화
추락의 해부,'왜?'가 결여된 재판은 이해가 단절된 부부싸움과 같다.
추락의 해부,"결국 해부된 것은 ""추락""사건이 아닌 다른 것이 아닐까...?"
분노의 질주,도미닉과 동화되는 브라이언
분노의 질주,분노를 속도로 치환시켜 질주하는 아드레날린! 이제는 블록버스터가 된 시리즈의 시작
