movie_title,review
라팔마,자연경관이 압도적모습으로 잘 나오고 빠른전개가 맘에 든다
라팔마,영화적 허용
라팔마,믿고보는 노르웨이산 재난물
라팔마,인물설정과 갈등관계가 많이 익숙하지만 장엄한 자연경관을 굉장히 잘 담아냈고 핵심인 재난을 뜸들이지 않고 바로 보여줘서 괜찮은 자연재난물이라고 생각함.
라팔마,아쉬운 점들은 있지만 재밌게 볼 수 있음
라팔마,이게 산다고? 하는 장면들이 많았지만 재난영화를 좋아하는 사람이라면 추천
이토록 친밀한 배신자,호흡이나 전개가 빠른 편이 아닌데 한석규 무게감으로 다 눌러버린다 이렇게 연기 ㅎㄷㄷ한줄 몰랐다 흡입력장난아님 중간에 끊을 수가 없음 개인적으로 퍼펙트데이즈 한국판에서 보고싶은배우
이토록 친밀한 배신자,회차가 진행될수록 이 드라마가 끝날 날이 다가온다는 조급함. 근래 최고의 드라마다
이토록 친밀한 배신자,신선한 소재이긴하나 지루한 전개와 허술한 수사가 몰입에 방해를 줌
이토록 친밀한 배신자,오랜만의 장르물에 고퀄리티.흥미로운 세팅. 그러나 너무 모든씬에 힘을줘서 루즈하게 느껴진다
이토록 친밀한 배신자,"시각적인 부분에 편중되어 진행이 너무 루즈한 느낌. 긴장감은 떨어지고, 심리적인 부분을 부각해 이끌어가려 하지만 입체적인 앵글로 인해 주의가 흐트러짐."
이토록 친밀한 배신자,"온 가족이 고구마 스타일 . 처음 몇 회는 심리묘사 등 괜찮았으나 4,5회 넘어가면서 답답해서 너무 힘든 스타일. 그냥 말을 하라고 제발."
이토록 친밀한 배신자,결말까지 안정적으로 잘 뽑힌다면 용두용미가 될 드라마. 무엇보다도 연출과 연기가 뛰어난 작품. (집 구조 마저도 연출의 한 부분처럼 느껴진다.)
이토록 친밀한 배신자,T와F가 격렬히 싸운다. 상황과 증거가 딸을 가르키는 상황에서 형사인 아버지T. 아니라는 딸을 믿어야하는 가족으로써의 아버지F. 당신이 아버지라면?
이토록 친밀한 배신자,한석규만 보인다
이토록 친밀한 배신자,"관계설정과 초반 서사를 보여주는 것이 길다면 길지만 잘 따라간다면 앞으로 흥미진진하게 진행 될것 같다. 1,2부를 봤다면 이제부터 시작할께! 하니 3부를 기다려본다."
이토록 친밀한 배신자,"요즘 드라마 중에 진짜 몰입하고 재밌게 봤어요! 약간 고구마가 있다는 분들 있던데, 저는 괜찮았던 것 같아요!"
이토록 친밀한 배신자,"설정이 과하다. 제발 말 좀 해~ 여고생은 언제나 정확히 추적, 미행하며 잠입 필요한 정보 딱딱 챙기는데, 경찰은 대부분 미행을 놓치고, 제대로 된 위치 마저 모른다."
이토록 친밀한 배신자,생각보다 짜임새 있는 추리극!!
이토록 친밀한 배신자,볼만한데 억지로 아득바득 클리셰 부정하려 용쓰는게 보이고 그러다보니 억지 설정이 많음 하지만 그것빼곤 재밌음
이토록 친밀한 배신자,내용 어려움 ㅠ
이토록 친밀한 배신자,"신하균, 여진구 주연의 괴물의 부녀판을 보는 듯하다 결말은 뻔항테지만 과정에서 시청자들을 이리저리 드리블 할것 같은 느낌"
이토록 친밀한 배신자,작정하고 있어보이게 연출하는 것에서 오는 거부감
이토록 친밀한 배신자,"한석규,채원빈은 물론이고 조연들 모두 연기 미쳣다!"
이토록 친밀한 배신자,재미가 없어요.
이토록 친밀한 배신자,뒤로 갈수록 힘 빠지는... 기대했던 두뇌대결이 없어 아쉬운
이토록 친밀한 배신자,소설책이나 영화였으면 좋았을까
이토록 친밀한 배신자,배우들 연기는 한명도 빼놓지 않고 너무 좋음 각본이 연기를 못따라가는게 너무 아쉬움
이토록 친밀한 배신자,빈틈없이 꽉짜인 이야기. 그리고 탄탄한 연기의 주인공. 더이상의 설명은 시간낭비. 그냥 보쇼.
이토록 친밀한 배신자,한번 보기 시작하면 절대 멈출 수 없다
이토록 친밀한 배신자,전개가 빠르지 않지만 드라마에 빠져 흘러가면 시간 가는 즐도 모르겠다.
이토록 친밀한 배신자,연출 지림. 매화 매화 예측 불허함. 채원빈은 스위트홈에서 약쟁이 여자애랑 동일 인물이라는 게 안 믿김
이토록 친밀한 배신자,배우 음악 연출 그리고 그림자
이토록 친밀한 배신자,쫀쫀하다 이말이외엔 필요가 없다
이토록 친밀한 배신자,스릴러 안좋아하는 강경 로맨스파가 집중해서 본 몰입도 쩌는 드라마 굿귯
