movie_title,review
트윈 픽스,현실과 환상이 겹친 스크린에 홀리듯 빠져든다(3.5)
트윈 픽스,스토리 너무 좋다 그런데 감독이 지멋대로 나를 가지고 논다
트윈 픽스,데이빗 보위랑 키퍼 서덜란드 안나와도 좋지만 라라 플린 보일이 나왔어야지
트윈 픽스,로라의 악몽같던 삶
트윈 픽스,뭔 드라마까지 다 봐야 이해되는 영화가 있담ㅜㅜ휴
트윈 픽스,너무너무힘들다... 너무힘들어요 진짜 너무 힘들어요 어떻ㄱ 이렇게 힘들수가 있을지 정말 저 너무 힘들어요 누가좀. 살려줬으면 좋겠어요
트윈 픽스,의식과 무의식을 오가는 비언어적 시각효과의 향연.
트윈 픽스,tv 드라마 팬이라면 ...
트윈 픽스,뭔 소린지... 드라마 봐야겠다
트윈 픽스,.
트윈 픽스,예술적으로 미친다는 것에 대하여
트윈 픽스,셰릴 리의 표정이 화면을 뚫고 전해지는 것 같다. 아직도 미드를 볼 엄두가 나질 않아서 고민하게 된다.
트윈 픽스,Fire walk with me.
트윈 픽스,비범한 이가 펼치는 꿈과 환상의 나래를 살짝 맛보다.
트윈 픽스,tv시리즈의 숨겨진 이야기를 완성하는 프리퀄. 30년만에 젊은 린치를 다시 영접하다. 이런 조합은 다시 볼 수 없을듯
트윈 픽스,"데이빗 린치 감독의 영화는 재개봉했던 <멀홀랜드 드라이브>를 처음으로 보았고, 이번이 두 번째로 접하는 영화다. 린치 특유의 현실과 초현실을 넘나드는 이미지와 연출, 서사는 정..."
트윈 픽스,그 집요함과 세계관의 실험에 대한 고집만은 인정한다.
악마를 보았다,"이병헌배우님, 최민식배우님 두분의 연기는 정말 신들렷다.."
악마를 보았다,말그대로 악마를 보고야 말았다. 그만큼 배우들의 연기력이 퍼펙트! 하지만 너무 ㅠㅠ 좌닌해에....ㅠ
악마를 보았다,진짜 악마같은 영화를 보았다...
악마를 보았다,무섭고 잔인하기에 호불호가 있을 수 있지만 두 배우의 연기력이 이 모든걸 커버함. 정말 악마같은 연기.
악마를 보았다,이병헌과 최민식이 나온다는 이유만으로 이런 의미없는 슬래셔 포르노 삼류 영화에 높은 별점을 줄 수는 없다.
악마를 보았다,이병헌 최민식만으로도 설명필요없다
악마를 보았다,액션장면 연출과 더불어 영상미는 참 맘에 드는 영화다. 근데 이병헌 캐릭터의 교만함때문에 복수과정 도중 너무 많은 피해자가 부수적으로 생기는건 너무 멍청하고 무리한 설정같다.
악마를 보았다,허세만 가득하다.
악마를 보았다,내가 너 좋아하면 안되냐 라는 명언을 남기고 마지막 이병헌 연기가 두고두고 회자되고있는 띵작
악마를 보았다,영화를 보면서 실제로 악마를 보는 것 같아 영화 끝난 후에도 한참동안 잔상이 남았다. 현실에 있을 것 착각이 들정도로 서사가 좋았다. 또한 최민식님의 연기 또한 일품이다.
악마를 보았다,나무서워...
악마를 보았다,"평면적이고 자극적이기만 한 '악마'와, 그걸 변명 삼아 욕망을 해소하는 카메라."
악마를 보았다,20.03.07 공허로 들어가는 짐승의 검은 피. 그 검은색을 내기 위해 감독은 몇명의 여성을 소비하는 건지.
악마를 보았다,"결국, 그 어떠한 위로도 없이... 내면의 악마만 만난 꼴이라니..."
악마를 보았다,두 악마가 벌이는 이야기에 눈 뗄 수 없었다
악마를 보았다,괴물을 이길려면 괴물이 될 수 밖에 없는
악마를 보았다,악을 다스리기 위해 악마가 되었다.
악마를 보았다,심연을 들여다보다 끝내는 심연이 되어버린 남자
악마를 보았다,연기차력쇼입니다..
악마를 보았다,잔인하고 폭력적인 영화이지만 두배우의 연기력이 좋아 재밌게 보았다
악마를 보았다,다른사람은 모르겠지만 나한테는 영화추천해줘! 하면 바로 떠오르는 영화 잔인한건 맞지만 연기력 오직 하나만으로 기억에 깊이깊이 박혀있다
악마를 보았다,너무 기빨려요..
악마를 보았다,내 인생 가장 소름돋는 영화
악마를 보았다,이 영화를 통해서 알았다 최민식은 연기를 잘해도 너무 잘한다는걸
악마를 보았다,내가 본 무서운 영화 중에 가장 무서운 영화. 영화관에서 집으로 돌아올 때가 늦은 밤이었는데 등골이 오싹해 계속 주위를 둘러봤다!
악마를 보았다,두 악마
악마를 보았다,.
악마를 보았다,불편하지만 그래도
악마를 보았다,잔혹한 장면만 기억에 남았던 영화
악마를 보았다,이병헌과 최민식만으로도 충분히 볼 가치는 있다.
악마를 보았다,인터넷 댓글을 영상화한
악마를 보았다,감독이 삼류 포르노를 찍고싶었나보다. 배우들의 연기로 포장했으나 결국 자극적이기만한 삼류 포르노.
악마를 보았다,"처절한 복수, 악마를 잡기위해 더한 악마가 되어야한다."
악마를 보았다,결국은 그도 악마가 되었다
악마를 보았다,너무 잔인한 영화 ㅜㅜ 반은 눈감고 귀막은듯
악마를 보았다,이 영화... 지독하다...
악마를 보았다,ㄹㅇ 악마 너무 잔인하긴 함
악마를 보았다,길티 플레저.
악마를 보았다,의도된 피로함
악마를 보았다,“왜 이렇게 약한 척해 이제 시작인데”
악마를 보았다,아.......이렇게 잔인할 줄 몰랐다.....재밌는데 정신적 충격이 너무 크다.....
악마를 보았다,분명 연기로는 사람을 압도하는데 그 내용의 악마성 때문에 거부감이 드는 것도 사실이다.
악마를 보았다,연기는 잘하는데 뭐라해야되나 굳이 볼 정도는 아닌거 같다 그냥 더럽고 야하고 잔인하고 폭력적임 19금 나열한 느낌
악마를 보았다,"피해자를 다루는 방식만 빼면 완벽한 영화. 이병헌, 최민식이 각자 연기의 정점을 보여준다."
악마를 보았다,악마를 잡기 위해서 악마가 되어야 하는 아이러니.
악마를 보았다,남자들이 좋아하는영화. 몰입이 엄청 잘되고 단순하고 쉽다.
악마를 보았다,연기 끝내주네요
악마를 보았다,인간의 잔인함은 어디까지인가 싶다가도 요즘 뉴스보면 또 생각이 달라짐
악마를 보았다,발목이 아리다
악마를 보았다,현실과 다르지 않다.
핫스팟: 우주인 출몰 주의!,인물들이 뻔하지 않아서 재미있음!
핫스팟: 우주인 출몰 주의!,잔잔하게 재밌네 요즘 한드에 없는 순한맛
핫스팟: 우주인 출몰 주의!,넷플릭스에서 1화 봤는데 은근히 골때리는 B급 감성 코미디임. 보면서 피식피식 웃게되는 기분좋은 일드. 예전 우에노주리 나왔던 거북이는 의외로 빨리 달리다 같은 느낌입니다
이터널 선샤인,그녀와의 모든 시간이 행복하진 않아도 사랑하니까 괜찮아 잊음으로 얻는 치유보다 받는 아픔이 더욱 크기에 가슴이 기억하는 한 사랑은 `이터널 선샤인`
이터널 선샤인,어떻게 끝나는지를 아는데 시작할 수 있는걸까
이터널 선샤인,기억을 삭제한다고 해서 감정과 그 순간들이 모두 지워지지 않는다. 우리 어딘가에는 쌓여있으니까.
이터널 선샤인,"달과 별, 비와 눈, 구름과 바람을 잊은 영원한 햇살에 무슨 의미가 있는가. _ 완전한 사랑이란 무엇인가. 결혼이라는 제도적인 틀 안에 골인한다는 것이 그들의 사랑이 완전해졌음을..."
이터널 선샤인,볼때마다느낌이다른영화
이터널 선샤인,"실수를 반복한다고 해도, 속는셈치고 다시 한 번.."
이터널 선샤인,인간이란 무엇인가? 예술이란 무엇인가?
이터널 선샤인,세간의 평가가 너무 높아서 기대하고 봤는데.. 高
이터널 선샤인,망각의 서러움은 기억의 아름다움을 깨달았을 때 비로소 아파온다.
이터널 선샤인,정말 오랜만에 다시 본 영화. 짐캐리의 정극 연기도 좋았고 마지막까지 여운을 남기는 이야기가 너무 좋다. 언젠가 또 다시 볼때는 뭘 남길지 기대된다.
이터널 선샤인,수십번을 봐도 다가오는 울림이 다르다.
이터널 선샤인,죽고 싶도록 잊고 싶은 기억을 가진 자만이 이해할 수 있는 고통
이터널 선샤인,망각했음에도 다시 만날 수 있는 건 ‘사랑의 힘’
이터널 선샤인,"사랑은 지울 수 없고, 끝을 알면서도 다시 시작한다는 마음"
이터널 선샤인,많이슬퍼요
이터널 선샤인,내 평생의 최고의 영화
이터널 선샤인,오랜만에 다시 보는데 나이가 드는만큼 마음이 쓰려지는 영화. 지우고 싶은 기억이 쌓여서 그런걸까
이터널 선샤인,현실에도 아픈 기억을 지워주는 곳이 있다면? 너무 매력적인 여주인공
이터널 선샤인,"감정은 기억보다 깊다, 그 한줄기 햇살, 그 사랑으로 살아가는 것."
이터널 선샤인,사랑이 뭔지 몇 번을 고민하게 하는 영화. 기억을 지워도 결국 감정은 남는다.
이터널 선샤인,아무리 복잡한 미로 속 이더라도 사랑은 결국 추상적인 길을 만들고야 만다.
이터널 선샤인,그가 아닌 ‘그를 사랑했던 자신’과의 헤어짐
이터널 선샤인,이터널 선샤인 정보 출연진 리뷰 결말 후기 기억을 삭제해도 사랑은 삭제되지 않는다 sf 로맨스 영화 추천
이터널 선샤인,좋은 영화라며..... 이 감성을 이해하지 못하는 나로선 너무도 괴로워하며 봤다. 아 더러워. 남의 집에서 뭐 하는 거야. 나가. 다 나가! 사랑의 기억이고 뭐고 나가!
이터널 선샤인,설령 지금 우리가 함께가 아니더라도 나는 그때로 돌아가 다시 널 만날거야
이터널 선샤인,기억을 지워도 마음은 남았다
이터널 선샤인,기대가 너무 커서 실망이 컸던영화.
이터널 선샤인,사랑이란 단어가 내 삶속에서 그러하듯 사랑의 의미와 소중함을 완벽하게 각인시켜주는 영화. 우리가 아무리 지우려고 해봤자 그 각인은 내 의지로는 지울 수 없는 내 인생에 선명한 이터...
이터널 선샤인,하지만 정말 기억을 지운다고 끝일까? 기억을 지우면 사랑하는 그 추억들까지 사라져 버리는 걸까? 영화의 뒤로 갈수록 그들은 모르지만 영화를 보는 관객들은 모두 다 알고 있다.. ...
이터널 선샤인,"이터널선샤인을 2004년 개봉 당시 초등학생 시절에 한 번, 대학생이 돼서 2013년에 한 번, 그리고 어젯 밤(15년 11월 9일) 세번째로 한 번 더 보았다. 정말 신기하게도..."
이터널 선샤인,'이터널 선샤인' 오브 더 '스팟레스 마인드' '스팟'이 없는 마음은 축복일까 슬픔일까? 아마 영화 만들때 심리학 공부한 사람이 포함되어있었을거임
이터널 선샤인,좋긴한데 내겐 너무 어렵고 불편한 사랑이야기
이터널 선샤인,감정의 플롯을 극한으로 쌓은뒤 터트린다.
이터널 선샤인,오렌지
이터널 선샤인,잊고 싶은 기억 조차 상대방이 없어지면 그리움이 되고 그때로 다시 돌아갈 수 없는 서글픈 기억이 된다.
이터널 선샤인,사랑하는 사람끼리 서로 지우고싶은건 있을거야. 그래도 그것도 소중한 기억이고 추억이라는걸 잊지마!
이터널 선샤인,"사랑하기 전, 사랑 중, 사랑한 후에 볼 때마다 다르게 느껴지는 영화"
이터널 선샤인,기억을 지울정도로 미웠지만 사랑한다 결국엔 익숙함과 미워지는 순간이 아무렇지않게되고 그걸 덮을만한 사랑만이 존재하는거아닐까? 마지막장면 반복된 장면은 지루한 일상도 행복하다라는걸
이터널 선샤인,"수동적으로 누군가를 잊으려 한다는 과정 자체의 고통. 역설적으로, 너무나도 좋아했기 때문에 스스로 그 고리를 끊지 못할 걸 잘 알기 때문에. 그렇지만 그 고리는 생각보다 견고했다."
이터널 선샤인,재미있고 처음 만났을 때가 첫장면이 아니었다는 것을 깨달았을 때 소름이 돋았다 나도 이런 사람을 만나 이런 사랑을 하게 되길
이터널 선샤인,기억을 삭제 한다해도 결국 사랑은 돌아오는건가
이터널 선샤인,망각하기엔 그릇이 너무 컸던 사랑.
이터널 선샤인,무모하지만 그것이 사랑이라면
이터널 선샤인,"눈이 부시던 그 순간들도, 가슴 아픈 그대의 거짓말도 새하얗게 바래졌다."
이터널 선샤인,인생작
이터널 선샤인,이런 사랑을 하고 싶다고 생각했다... 조연이 여러모로 열받아서 혼났음
이터널 선샤인,마지막 장면이 여러가지 고민거리를 만들어준다
이터널 선샤인,서로 사랑하면 그것으로 충분하다 말해준다
이터널 선샤인,만물이 서로를 망각하더라도 인력은 망실되지 않기에.
이터널 선샤인,너에 대한 기억을 다 지운다해도 다시 사랑에 빠질 수 있을까
남색대문,나를 등진 너의 뒷모습을 보고도 미소지을 수 있는
남색대문,"단순하지만 복잡했던 당신의, 남색대문"
남색대문,"이 작품이 대만에서는 청춘 영화의 바이블로 꼽힌다는데 그럴 수밖에. 촌스럽지만 풋풋하고, 또 싱그럽다."
남색대문,대만판 반쪽의 이야기 느낌.. 역시 청춘 드라마는 일본보다 대만이 더 취향이다...♥
남색대문,청춘의 모습을 영화 마무리까지 있는 그대로 차분하게 살펴봐서 좋았다
남색대문,과하지않은 사랑에 대한 청춘들의 조심스러운 탐구.. 그래서 더 이쁘다.. 성장을 한다는게 어떤건지 제대로 보여주는 이쁜 영화..
남색대문,"우리의 1,3,5년후는 어떤 모습일까? 나도 그런 친구가 있었는데, 지금은 이름도, 얼굴도 생각나지 않는다. 어떤 모습으로라도 함께했음 싶다. 낙서, 따라다니기, 키스, 정체성"
남색대문,청춘들의 짝사랑이 이렇게 쓸쓸하고 우울한 거였나.
남색대문,스무살의 풋풋한 계륜미를 볼 수 있는 영화. 영화 자체는 여타 다른 청춘영화들과 별반 다르지 않은 느낌.
남색대문,"내 눈에 너만 가득 담긴 그림은, 분명 싱그러운 여름의 빛깔."
남색대문,썸타는 과정에서의 흔들림을 잘 표현했다.
남색대문,계륜미 영상화보집 전개가 조금 답답하다는 단점
남색대문,.
남색대문,어릴때 풋풋했던 사랑이야기..
남색대문,깜찍한 통증 위 쌉싸름 여름 초콜릿을 펴 발라요
남색대문,그냥저냥 볼만한 그 시절 대만 학생 로맨스 영화 몽글몽글한 분위기는 좋았다. 인상깊은말이 있다면 나중에 남자를 좋아하게 되면 말해달라는 이야기 22.5.12
남색대문,보는 내내 스토리가 너무 이해가 안되었다. 아무리 애들의 학창시절 혼란스러운 연애 감정이 담겼다 해도 갑자기 동성친구한테 뽀뽀는 너무 뜬금없는 시점이였다
남색대문,★3.7 짧은데 이 분위기에 딱 적당한 길이인 것 같음 근데 남자를 안 좋아해도 걍 연락하면 안 될까 친구하자ㅠ! - 2022.08.06
남색대문,서투른 게 더 아름다울 때가 있지
남색대문,타다 남은 잿더미 속에서 펜을 다시 꺼내면서도 내가 좋아하는 사람의 감정 또한 존중한다는 것.
