movie_title,review
백 인 액션,별로 재미가 없음.
백 인 액션,메리에겐 먼가 특별한 것이 있을줄 알았는데 세월에는 그 삐친 앞머리도 주저 앉았나 보다. 눈 먼 레이의 그 열정적인 모습은 사라지고 내 눈까지 멀게 해버렸구려.
백 인 액션,가족간 대화가 재밌는게 몇번 있었음
백 인 액션,2020년대 중반에 90년대 감성은 너무하지 않나..
백 인 액션,가볍게 보기 좋은 영화
백 인 액션,"어디서 봤던 것들이 적당하게 버무려진, 시간 때우기 적절한 영화"
백 인 액션,기본에 출중한 액션 영화지만 기본만 있었다
백 인 액션,카메론 디아즈의 매력은 여전하고 가족 함께 보기 괜찮은 팝콘 무비
백 인 액션,"25년 전 설 연휴, TV에서 온 가족이 떡국 먹으면서 보기에는 매우 무난한 가족 액션 영화처럼 만들었다."
백 인 액션,인크레더블의 실사판?? 오랜만에 가족 영화 같은 액션 영화..
백 인 액션,전형적인 헐리우드 코믹스파이 영화
백 인 액션,영화관에서 봤으면 후회했겠지만 넷플릭스 킬링타임용으로 보기에는 괜찮았음. 조금 옛날 스타일이 느껴지는 영화지만 베테랑 배우들 연기는 볼만했음
백 인 액션,예전 액션코미디 영화들이 생각나는 작품. 가볍게 보기엔 딱 좋다.
백 인 액션,미녀삼총사의엔젤을 다시보는것 만으로 만족.. 익숙한 스토리.. 특별할것 없는 액션.. 시간 때우기엔 좋은영화.
백 인 액션,"럽코x액션은 역시 카메론 디아즈🫶 여전히 사랑스러운 얼굴. 가족영화라서 액션 수위가 낮고, 좀 비과학적이지만 그래도 가볍고 귀여운 영화다. 후속작 나오면 좋겠음."
백 인 액션,B급 액션영화라고 우기면 할말 없음.
백 인 액션,전직스파이가족액션코미디. 아는 맛 칵테일.
백 인 액션,2025버전 스파이키즈 같다!
백 인 액션,"처음 5분이 집중하기좋았음 뒤로갈수록 액션,스파이물인데 쪼여오는맛이 없음"
백 인 액션,지루할 틈 없는 스파이 액션😎 카메론 디아즈의 화려한 귀한!
백 인 액션,가족의 화해와 평화를 목표로 다시 달려!
백 인 액션,떡밥도 많이 깔고 스케일도 큰데 뭔가 어설픈 케미
백 인 액션,그냥 흔한 아는맛 공장형 스파이 영화
백 인 액션,뻔한 넷플릭스표 액션 코미디이지만 카메론 디아즈 복귀는 환영
백 인 액션,제이미 폭스와 카메론 디아즈가 복귀했다
백 인 액션,백 인 액션 정보 출연진 관람평점(해외평점) 리뷰 후기 결말 스포 쿠키 넷플릭스 코믹액션첩보물 영화추천
글래디에이터,피의 연마재로 복수의 단검을 벼린 뒤 긍지의 방패 뒤에 숨기고 당당한 표정으로 나아가는 이야기.
글래디에이터,중학교 2학년(2000년) 자전거 타고 간 영화관에서 느꼈던 그 감동.
글래디에이터,역시 리플리스콧은 스펙터클의 대가다. 로마제국의 정치적 혼란 중의 노예들의 반란을 다루나 결국 중심에는 버림받은 아들의 뒤틀린 강박과 모든 것을 잃은 전사의 복수심의 피비린내 나는...
글래디에이터,어릴때 아버지랑 봤던 레전드영화^^
글래디에이터,"모든 것이 웅장한 가운데, 감정의 표현은 너무나 섬세하다."
글래디에이터,"어릴 적 비디오 테이프로 몇 번을 돌려봤던 작품, 이번에는 감독판으로 다시 보았는데 과연 필요없는 장면이 많아서 굳이 감독판을 찾아볼 필요는 없는 것 같다"
글래디에이터,"특별히 SF적인 무언가를 집어넣지 않고도 스토리에 압도되는 느낌을 주다니, 진정한 블록버스터 영화답다."
글래디에이터,멋진 시간 가는줄 모르게 재밌게 본 영화
글래디에이터,"정말 너무 웅장하다 주인공부터 빌런,OST 그냥 모든게 좋으며 러셀 크로우는 멋있어도 너무 멋있다"
글래디에이터,간단한데 재밌다.
글래디에이터,어릴 적 극장에서 봤던 충격. 비장한 복수극
글래디에이터,스케일 bgm 시나리오 모든게 웅장하다
글래디에이터,멋진전개 캐릭터 빌런 모두 좋앗음.. 이떄의 러셀 크로우는 진짜 멋있었음
글래디에이터,.
글래디에이터,한줄평 - Now We Are Free
글래디에이터,밀밭을 훑듯 고운 흙모래를 움켜쥘 때마다 콜로세움의 관중처럼 숨죽이고 환호한다.
글래디에이터,러셀크로우하면 막시무스가 자연스럽게 오버랩되는 인상적인 로마 시대극.
글래디에이터,25년만에 다시본 영화인데 25년전 극장에서 보았던 그 대단한 감동과 웅장함은 없고 단점이 너무 많아서 아쉬움
글래디에이터,로마식 무협의 맛
글래디에이터,쇠냄새와 피냄새 가득한 영화
글래디에이터,수없이 봤지만 다시 봐도 명작이다
글래디에이터,고대 로마의 웅장함을 생생하게 담아낸 영상미. 러셀 크로우의 카리스마 넘치는 연기는 막시무스 캐릭터에 생명력을 불어넣는다.
글래디에이터,깔끔한 수작이나 더 잘 만들 수 있었을 것만 같다
글래디에이터,호불호 안 갈리는 영웅영화의 정석
글래디에이터,생동감 넘치는 액션과 웅장한 규모보다 정적이고 숨막히는 감정표현들이 장점인 영화
글래디에이터,잘 만든 작품이긴하나 내 취향은 아닌걸로.
글래디에이터,"힘과 명예, 독재와 공화정의 칼끝은 누가 쥐고 어디를 향하나."
글래디에이터,엄마아빠는 왜 이런 영화 혼자 봤지… 이게 진짜 “영화”지
글래디에이터,"광기에도 잃어버리지 않은 인간의 모습, 폭력에도 무너지지 않은 영웅의 가치."
글래디에이터,“역시 고대 로마의 검투사들의 열기는 언제나 대단하다”
글래디에이터,2를 보고 1을보니 2가 1 스토리를 얼마나 차용했는 지 느껴진다. 다만 2편이 그렇게 폄하될 정도로 1이 그렇게까진 완벽하지 않다고 생각한다
글래디에이터,"2편 관람 전 1편 다시보기. 역쉬 대작의 면모들. 로마 시대로 나를 데려다 놓음. 통치술로서 검투 경기. 노예제, 인간의 잔인함은 본성이 아니라 믿고 싶다."
글래디에이터,"완벽한 기승전결의 고대 로마 대서사시, 가슴이 웅장해지는 초반 전투씬과 콜로세움 검투 경기는 단연 백미!!"
글래디에이터,"돌아온 진정한 황제의 아들. 플롯은 1편의 복사판 같지만, 고대 콜로세움 전투의 재현은 정말 대단합니다."
글래디에이터,여운이 강렬함
글래디에이터,"단점이 자꾸 눈에 보이지만, 러셸 크로우의 남성미와 검투 장면의 멋에 흠뻑 취하다보면 조금 흐릿해진다."
글래디에이터,글래디에이터
글래디에이터,무자비하게 충돌하는 두 증오사이 피어오르는 섬세한 감정들
글래디에이터,고결한자가 복수귀에서 다시 돌아오는 장면은 실로 감탄을 금치 못하였다. 시저의 연기도 압권!
글래디에이터,영웅 서사의 교과서
글래디에이터,깔-끔
